# x [m],	 y [m],	 u [m/s],	 v [m/s],	 mask
  0.3264	  7.3301	  9.0460	 -2.0627	  0.0000
  0.8651	  7.3301	  9.0329	 -2.0844	  0.0000
  1.4039	  7.3301	  9.0329	 -2.0844	  0.0000
  1.9426	  7.3301	  9.0173	 -2.0828	  0.0000
  0.3264	  6.7913	  9.3877	 -2.2093	  0.0000
  0.8651	  6.7913	  9.2898	 -2.0875	  0.0000
  1.4039	  6.7913	  9.2898	 -2.0875	  0.0000
  1.9426	  6.7913	  9.3492	 -2.2363	  0.0000
  0.3264	  6.2526	  8.7445	 -1.6072	  0.0000
  0.8651	  6.2526	  8.7032	 -1.5884	  0.0000
  1.4039	  6.2526	  8.7032	 -1.5884	  0.0000
  1.9426	  6.2526	  8.5528	 -1.7463	  0.0000
  0.3264	  5.7138	  9.1967	 -0.2238	  0.0000
  0.8651	  5.7138	  9.0699	 -0.3257	  0.0000
  1.4039	  5.7138	 12.9507	 -7.2524	  0.0000
  1.9426	  5.7138	  8.9935	 -0.3712	  0.0000
  0.3264	  5.1751	  9.3186	  1.0278	  0.0000
  0.8651	  5.1751	 -0.0000	  0.5180	  0.0000
  1.4039	  5.1751	  9.1828	  0.9311	  0.0000
  1.9426	  5.1751	  6.9119	 -0.7716	  0.0000
  0.3264	  4.6363	  9.7899	  2.4131	  0.0000
  0.8651	  4.6363	  9.6639	  2.3267	  0.0000
  1.4039	  4.6363	 14.5048	  9.3245	  0.0000
  1.9426	  4.6363	  9.5873	  2.2662	  0.0000
  0.3264	  4.0976	  9.9789	  4.1025	  0.0000
  0.8651	  4.0976	  9.9228	  3.9051	  0.0000
  1.4039	  4.0976	  9.9228	  3.9051	  0.0000
  1.9426	  4.0976	  9.7888	  3.9644	  0.0000
  0.3264	  3.5588	 11.1287	  5.2445	  0.0000
  0.8651	  3.5588	 11.0354	  5.1256	  0.0000
  1.4039	  3.5588	 11.0354	  5.1256	  0.0000
  1.9426	  3.5588	 11.0993	  5.2238	  0.0000
  0.3264	  3.0201	 11.3205	  5.7099	  0.0000
  0.8651	  3.0201	 11.3137	  5.7118	  0.0000
  1.4039	  3.0201	 11.3137	  5.7118	  0.0000
  1.9426	  3.0201	 11.3045	  5.6987	  0.0000
  0.3264	  2.4814	 11.8535	  6.3967	  0.0000
  0.8651	  2.4814	 11.8543	  6.3988	  0.0000
  1.4039	  2.4814	 11.8543	  6.3988	  0.0000
  1.9426	  2.4814	 11.8502	  6.3944	  0.0000
  0.3264	  1.9426	 12.1907	  6.8793	  0.0000
  0.8651	  1.9426	 12.1899	  6.8785	  0.0000
  1.4039	  1.9426	 12.1899	  6.8785	  0.0000
  1.9426	  1.9426	 12.1893	  6.8783	  0.0000
  0.3264	  1.4039	 12.5009	  7.2791	  0.0000
  0.8651	  1.4039	 12.5007	  7.2789	  0.0000
  1.4039	  1.4039	 12.5007	  7.2789	  0.0000
  1.9426	  1.4039	 12.5006	  7.2788	  0.0000
  0.3264	  0.8651	 12.6461	  7.4710	  0.0000
  0.8651	  0.8651	 12.6460	  7.4710	  0.0000
  1.4039	  0.8651	 12.6460	  7.4710	  0.0000
  1.9426	  0.8651	 12.6459	  7.4709	  0.0000
  0.3264	  0.3264	 12.7674	  7.6229	  0.0000
  0.8651	  0.3264	 12.7674	  7.6229	  0.0000
  1.4039	  0.3264	 12.7674	  7.6229	  0.0000
  1.9426	  0.3264	 12.7673	  7.6229	  0.0000
